"id","url","height","width"
"06HL4z0CvFAxyc27GXpf02_https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0","https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0","640","640"
"1NAmidJlEaVgA3MpcPFYGq_https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","640","640"
"1Xyo4u8uXC1ZmMpatF05PJ_https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb","https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb","640","640"
"246dkjvS1zLTtiykXe5h60_https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b","https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b","640","640"
"2nLOHgzXzwFEpl62zAgCEC_https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","640","640"
"3Gm5F95VdRxW3mqCn8RPBJ_https://i.scdn.co/image/ab67616100005174e7730231c2411fd2df0c03f9","https://i.scdn.co/image/ab67616100005174e7730231c2411fd2df0c03f9","640","640"
"3TVXtAsR1Inumwj472S9r4_https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9","https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9","640","640"
"4V8LLVI7PbaPR0K2TGSxFF_https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada","https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada","640","640"
"4g1ZRSobMefqF6nelkgibi_https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","640","640"
"5Op53ANI4exiWqFHKNWCZm_https://i.scdn.co/image/ab67616d0000b273a0728f4a29f2623507c6d3c5","https://i.scdn.co/image/ab67616d0000b273a0728f4a29f2623507c6d3c5","640","640"
"6O0ZVeWO8YvZzKWkUHnlT5_https://i.scdn.co/image/ab67616d0000b273a4dfa7122ec07fe3a1af22e7","https://i.scdn.co/image/ab67616d0000b273a4dfa7122ec07fe3a1af22e7","640","640"
"6swV0WUnPygRIMgEKn6Ige_https://i.scdn.co/image/ab67616d0000b273c0ccf408f777014a39ebd7c5","https://i.scdn.co/image/ab67616d0000b273c0ccf408f777014a39ebd7c5","640","640"
